last_name, first_name,woba,est_woba,est_woba_minus_woba_diff
Lindor, Francisco,0.368,0.375,-0.007
Turner, Trea,0.331,0.337,-0.006
Machado, Manny,0.377,0.372,0.005
Hernandez, Cesar,0.32,0.321,-0.001
Freeman, Freddie,0.378,0.387,-0.009
Merrifield, Whit,0.349,0.341,0.008
Bregman, Alex,0.396,0.371,0.025
Stanton, Giancarlo,0.36,0.344,0.016
Markakis, Nick,0.345,0.345,0
Semien, Marcus,0.308,0.304,0.004
Ramirez, Jose,0.392,0.366,0.026
Blackmon, Charlie,0.368,0.347,0.021
Harper, Bryce,0.376,0.388,-0.012
Goldschmidt, Paul,0.39,0.384,0.006
Albies, Ozzie,0.324,0.303,0.021
Peraza, Jose,0.319,0.309,0.01
Haniger, Mitch,0.367,0.371,-0.004
McCutchen, Andrew,0.347,0.361,-0.014
Lowrie, Jed,0.348,0.333,0.015
Santana, Carlos,0.333,0.346,-0.013
Castellanos, Nicholas,0.363,0.377,-0.014
Carpenter, Matt,0.375,0.392,-0.017
Hosmer, Eric,0.31,0.31,0
Arenado, Nolan,0.391,0.353,0.038
Anderson, Brian,0.333,0.334,-0.001
Rizzo, Anthony,0.359,0.366,-0.007
Choo, Shin-Soo,0.356,0.361,-0.005
Sanchez, Yolmer,0.297,0.289,0.008
Benintendi, Andrew,0.357,0.357,0
Hoskins, Rhys,0.363,0.352,0.011
Inciarte, Ender,0.309,0.294,0.015
Olson, Matt,0.34,0.355,-0.015
Galvis, Freddy,0.294,0.278,0.016
Story, Trevor,0.384,0.353,0.031
Davis, Khris,0.365,0.376,-0.011
Yelich, Christian,0.422,0.418,0.004
Moncada, Yoan,0.311,0.302,0.009
Martinez, J.D.,0.428,0.421,0.007
Castro, Starlin,0.316,0.314,0.002
Baez, Javier,0.366,0.349,0.017
Conforto, Michael,0.342,0.339,0.003
Gennett, Scooter,0.362,0.312,0.05
Mancini, Trey,0.308,0.332,-0.024
Moustakas, Mike,0.329,0.338,-0.009
Segura, Jean,0.327,0.315,0.012
Dozier, Brian,0.304,0.292,0.012
Bellinger, Cody,0.345,0.328,0.017
Escobar, Eduardo,0.346,0.321,0.025
Brantley, Michael,0.359,0.36,-0.001
Seager, Kyle,0.288,0.308,-0.02
Ozuna, Marcell,0.327,0.359,-0.032
Votto, Joey,0.37,0.395,-0.025
Springer, George,0.34,0.345,-0.005
Cain, Lorenzo,0.359,0.342,0.017
Desmond, Ian,0.315,0.304,0.011
Candelario, Jeimer,0.311,0.289,0.022
Chapman, Matt,0.369,0.339,0.03
Peralta, David,0.368,0.35,0.018
Betts, Mookie,0.449,0.433,0.016
Jones, Adam,0.315,0.311,0.004
Upton, Justin,0.348,0.358,-0.01
Kepler, Max,0.317,0.322,-0.005
Gardner, Brett,0.305,0.296,0.009
Trout, Mike,0.447,0.432,0.015
Andujar, Miguel,0.361,0.326,0.035
Marte, Starling,0.337,0.342,-0.005
Suarez, Eugenio,0.377,0.375,0.002
Anderson, Tim,0.294,0.274,0.02
Piscotty, Stephen,0.351,0.354,-0.003
Taylor, Chris,0.335,0.327,0.008
Kipnis, Jason,0.309,0.315,-0.006
Simmons, Andrelton,0.326,0.324,0.002
Altuve, Jose,0.364,0.358,0.006
Rendon, Anthony,0.383,0.389,-0.006
Herrera, Odubel,0.315,0.285,0.03
Profar, Jurickson,0.341,0.325,0.016
Smoak, Justin,0.349,0.335,0.014
Crawford, Brandon,0.306,0.311,-0.005
Cabrera, Asdrubal,0.332,0.323,0.009
Rosario, Eddie,0.34,0.303,0.037
Rosario, Amed,0.29,0.291,-0.001
Cruz, Nelson,0.361,0.389,-0.028
Martinez, Jose,0.356,0.384,-0.028
Gordon, Dee,0.277,0.278,-0.001
Shaw, Travis,0.351,0.346,0.005
Jay, Jon,0.301,0.298,0.003
Bell, Josh,0.336,0.34,-0.004
LeMahieu, DJ,0.323,0.327,-0.004
Hicks, Aaron,0.36,0.372,-0.012
Bogaerts, Xander,0.373,0.366,0.007
Marte, Ketel,0.33,0.32,0.01
Encarnacion, Edwin,0.346,0.362,-0.016
Gallo, Joey,0.343,0.369,-0.026
Alonso, Yonder,0.319,0.331,-0.012
Gurriel, Yuli,0.323,0.293,0.03
Pham, Tommy,0.359,0.382,-0.023
Gregorius, Didi,0.35,0.319,0.031
Gordon, Alex,0.305,0.334,-0.029
Aguilar, Jesus,0.374,0.358,0.016
Ahmed, Nick,0.3,0.29,0.01
Duffy, Matt,0.323,0.314,0.009
Cron, C.J.,0.347,0.347,0
Hamilton, Billy,0.277,0.26,0.017
Abreu, Jose,0.337,0.358,-0.021
Gonzalez, Marwin,0.318,0.318,0
Calhoun, Kole,0.283,0.333,-0.05
Dietrich, Derek,0.327,0.303,0.024
Wendle, Joey,0.338,0.306,0.032
Smith, Mallex,0.34,0.311,0.029
Perez, Salvador,0.304,0.334,-0.03
Contreras, Willson,0.321,0.31,0.011
Mauer, Joe,0.319,0.351,-0.032
Pillar, Kevin,0.302,0.32,-0.018
Mazara, Nomar,0.324,0.339,-0.015
Nimmo, Brandon,0.385,0.352,0.033
Odor, Rougned,0.325,0.319,0.006
Polanco, Gregory,0.353,0.342,0.011
Bradley Jr., Jackie,0.31,0.346,-0.036
Kinsler, Ian,0.298,0.299,-0.001
Dickerson, Corey,0.341,0.332,0.009
Swanson, Dansby,0.293,0.278,0.015
Realmuto, J.T.,0.353,0.354,-0.001
Escobar, Alcides,0.261,0.275,-0.014
Rojas, Miguel,0.281,0.289,-0.008
Healy, Ryon,0.296,0.32,-0.024
Camargo, Johan,0.346,0.31,0.036
Hernandez, Teoscar,0.328,0.34,-0.012
Davis, Chris,0.239,0.272,-0.033
Barnhart, Tucker,0.307,0.301,0.006
Zobrist, Ben,0.355,0.336,0.019
Margot, Manuel,0.288,0.294,-0.006
Grandal, Yasmani,0.352,0.338,0.014
Villar, Jonathan,0.312,0.291,0.021
Longoria, Evan,0.295,0.308,-0.013
Schwarber, Kyle,0.343,0.35,-0.007
Martinez, Victor,0.281,0.314,-0.033
Kemp, Matt,0.348,0.362,-0.014
Solarte, Yangervis,0.284,0.303,-0.019
Gonzalez, Carlos,0.338,0.303,0.035
Molina, Yadier,0.323,0.333,-0.01
Nunez, Eduardo,0.292,0.289,0.003
Schoop, Jonathan,0.29,0.267,0.023
Bour, Justin,0.325,0.326,-0.001
Span, Denard,0.33,0.337,-0.007
Judge, Aaron,0.391,0.394,-0.003
Pujols, Albert,0.299,0.325,-0.026
Davidson, Matt,0.322,0.324,-0.002
Soto, Juan,0.392,0.371,0.021
Goodrum, Niko,0.322,0.318,0.004
DeJong, Paul,0.321,0.331,-0.01
Devers, Rafael,0.31,0.305,0.005
Heyward, Jason,0.319,0.326,-0.007
Acuna Jr., Ronald,0.388,0.373,0.015
Reddick, Josh,0.312,0.3,0.012
Torres, Gleyber,0.349,0.34,0.009
Kingery, Scott,0.263,0.282,-0.019
Muncy, Max,0.407,0.394,0.013
Beltre, Adrian,0.327,0.329,-0.002
Almora Jr., Albert,0.305,0.278,0.027
Pirela, Jose,0.283,0.292,-0.009
Frazier, Todd,0.302,0.306,-0.004
Morales, Kendrys,0.329,0.377,-0.048
Correa, Carlos,0.313,0.31,0.003
Jones, JaCoby,0.274,0.295,-0.021
Russell, Addison,0.291,0.294,-0.003
Grossman, Robbie,0.333,0.313,0.02
Moran, Colin,0.322,0.33,-0.008
Franco, Maikel,0.328,0.308,0.02
Iglesias, Jose,0.304,0.28,0.024
Engel, Adam,0.27,0.253,0.017
Grichuk, Randal,0.34,0.338,0.002
Hernandez, Enrique,0.342,0.334,0.008
Happ, Ian,0.329,0.318,0.011
Pollock, A.J.,0.338,0.336,0.002
Moreland, Mitch,0.325,0.353,-0.028
McCann, James,0.256,0.285,-0.029
Bryant, Kris,0.359,0.353,0.006
Belt, Brandon,0.327,0.355,-0.028
Difo, Wilmer,0.281,0.277,0.004
Lucroy, Jonathan,0.271,0.291,-0.02
Diaz, Aledmys,0.321,0.336,-0.015
Hernandez, Gorkys,0.292,0.299,-0.007
Gattis, Evan,0.311,0.296,0.015
Palka, Daniel,0.329,0.313,0.016
Posey, Buster,0.326,0.341,-0.015
Williams, Nick,0.325,0.344,-0.019
Braun, Ryan,0.33,0.37,-0.04
Puig, Yasiel,0.349,0.348,0.001
Parra, Gerardo,0.313,0.308,0.005
Pederson, Joc,0.354,0.326,0.028
Renfroe, Hunter,0.338,0.326,0.012
Mercer, Jordy,0.296,0.318,-0.022
Gomes, Yan,0.326,0.324,0.002
Schebler, Scott,0.337,0.349,-0.012
Flores, Wilmer,0.316,0.301,0.015
Guzman, Ronald,0.312,0.291,0.021
Andrus, Elvis,0.296,0.286,0.01
Duvall, Adam,0.278,0.315,-0.037
Bader, Harrison,0.327,0.295,0.032
Turner, Justin,0.396,0.385,0.011
Chirinos, Robinson,0.333,0.319,0.014
Descalso, Daniel,0.341,0.336,0.005
Forsythe, Logan,0.274,0.277,-0.003
Ramos, Wilson,0.362,0.334,0.028
Canha, Mark,0.334,0.341,-0.007
Gomez, Carlos,0.285,0.296,-0.011
Wong, Kolten,0.315,0.297,0.018
Brinson, Lewis,0.248,0.29,-0.042
Zunino, Mike,0.288,0.296,-0.008
Maldonado, Martin,0.275,0.261,0.014
Cervelli, Francisco,0.355,0.351,0.004
Granderson, Curtis,0.341,0.34,0.001
Beckham, Tim,0.288,0.297,-0.009
Gyorko, Jedd,0.333,0.319,0.014
Bautista, Jose,0.324,0.337,-0.013
Walker, Neil,0.292,0.33,-0.038
Kiner-Falefa, Isiah,0.301,0.284,0.017
DeShields, Delino,0.271,0.265,0.006
Panik, Joe,0.28,0.315,-0.035
Bauers, Jake,0.308,0.309,-0.001
Dozier, Hunter,0.291,0.311,-0.02
Suzuki, Kurt,0.335,0.328,0.007
Jankowski, Travis,0.303,0.288,0.015
Garcia, Avisail,0.304,0.329,-0.025
Taylor, Michael A.,0.28,0.272,0.008
Villanueva, Christian,0.323,0.297,0.026
Maybin, Cameron,0.295,0.314,-0.019
Travis, Devon,0.284,0.308,-0.024
Alfaro, Jorge,0.314,0.3,0.014
Jackson, Austin,0.275,0.245,0.03
Harrison, Josh,0.285,0.287,-0.002
Sanchez, Gary,0.304,0.342,-0.038
Eaton, Adam,0.358,0.345,0.013
Kiermaier, Kevin,0.282,0.271,0.011
Holt, Brock,0.339,0.339,0
Duda, Lucas,0.316,0.328,-0.012
Ohtani, Shohei,0.39,0.383,0.007
Adrianza, Ehire,0.294,0.287,0.007
Arcia, Orlando,0.254,0.237,0.017
Bruce, Jay,0.296,0.336,-0.04
Iannetta, Chris,0.32,0.332,-0.012
Morrison, Logan,0.283,0.338,-0.055
Trumbo, Mark,0.329,0.331,-0.002
Martin, Leonys,0.323,0.361,-0.038
Frazier, Adam,0.343,0.315,0.028
Martin, Russell,0.305,0.311,-0.006
Murphy, Daniel,0.338,0.346,-0.008
Cano, Robinson,0.364,0.381,-0.017
Myers, Wil,0.328,0.344,-0.016
Robertson, Daniel,0.354,0.336,0.018
Heredia, Guillermo,0.295,0.307,-0.012
Adams, Matt,0.334,0.333,0.001
Pina, Manny,0.301,0.3,0.001
Garver, Mitch,0.325,0.316,0.009
Fowler, Dexter,0.261,0.277,-0.016
Winker, Jesse,0.366,0.367,-0.001
Perez, Hernan,0.292,0.287,0.005
Pinder, Chad,0.334,0.363,-0.029
Polanco, Jorge,0.336,0.309,0.027
Riddle, JT,0.282,0.292,-0.01
Spangenberg, Cory,0.291,0.291,0
Munoz, Yairo,0.326,0.298,0.028
Hedges, Austin,0.302,0.264,0.038
Zimmerman, Ryan,0.351,0.376,-0.025
Adames, Willy,0.328,0.293,0.035
Culberson, Charlie,0.335,0.27,0.065
Narvaez, Omar,0.348,0.322,0.026
Hechavarria, Adeiny,0.268,0.279,-0.011
Delmonico, Nicky,0.292,0.287,0.005
Freese, David,0.357,0.361,-0.004
Hicks, John,0.311,0.3,0.011
Bird, Greg,0.291,0.299,-0.008
Hanson, Alen,0.296,0.244,0.052
Cave, Jake,0.333,0.34,-0.007
Owings, Chris,0.25,0.295,-0.045
Fletcher, David,0.297,0.295,0.002
Hundley, Nick,0.304,0.313,-0.009
Herrera, Rosell,0.266,0.282,-0.016
Sano, Miguel,0.295,0.276,0.019
Flowers, Tyler,0.315,0.342,-0.027
Kemp, Tony,0.327,0.288,0.039
Gamel, Ben,0.323,0.313,0.01
Mondesi, Adalberto,0.341,0.336,0.005
Allen, Greg,0.288,0.291,-0.003
Valbuena, Luis,0.253,0.26,-0.007
Leon, Sandy,0.227,0.235,-0.008
Reyes, Franmil,0.36,0.331,0.029
Altherr, Aaron,0.282,0.319,-0.037
Valencia, Danny,0.31,0.345,-0.035
Joseph, Caleb,0.251,0.254,-0.003
Cabrera, Melky,0.326,0.328,-0.002
Thames, Eric,0.33,0.315,0.015
Plawecki, Kevin,0.302,0.306,-0.004
Diaz, Elias,0.34,0.342,-0.002
Garcia, Leury,0.295,0.291,0.004
Mesoraco, Devin,0.302,0.289,0.013
Souza Jr., Steven,0.3,0.314,-0.014
Wieters, Matt,0.308,0.308,0
