last_name, first_name,year,on_base_plus_slg,woba,xwoba,wobadif
Martinez, Victor,2018,0.651,0.281,0.314,-0.033
Mauer, Joe,2018,0.729,0.319,0.351,-0.032
Choo, Shin-Soo,2018,0.81,0.356,0.361,-0.005
Molina, Yadier,2018,0.75,0.323,0.333,-0.01
Encarnacion, Edwin,2018,0.809,0.346,0.362,-0.016
Jones, Adam,2018,0.732,0.315,0.311,0.004
Kinsler, Ian,2018,0.681,0.298,0.299,-0.001
Desmond, Ian,2018,0.729,0.315,0.304,0.011
Cruz, Nelson,2018,0.85,0.361,0.389,-0.028
Peralta, David,2018,0.868,0.368,0.35,0.018
Escobar, Alcides,2018,0.588,0.261,0.275,-0.014
Jay, Jon,2018,0.675,0.301,0.298,0.003
Longoria, Evan,2018,0.694,0.295,0.308,-0.013
Davis, Chris,2018,0.539,0.239,0.272,-0.033
Zobrist, Ben,2018,0.816,0.355,0.336,0.019
Cabrera, Asdrubal,2018,0.774,0.332,0.323,0.009
Blackmon, Charlie,2018,0.859,0.368,0.347,0.021
Markakis, Nick,2018,0.806,0.345,0.345,0
Nunez, Eduardo,2018,0.676,0.292,0.289,0.003
Cain, Lorenzo,2018,0.813,0.359,0.342,0.017
McCutchen, Andrew,2018,0.792,0.347,0.361,-0.014
Upton, Justin,2018,0.808,0.348,0.358,-0.01
Votto, Joey,2018,0.837,0.37,0.395,-0.025
Gardner, Brett,2018,0.688,0.305,0.296,0.009
Gordon, Alex,2018,0.694,0.305,0.334,-0.029
Kemp, Matt,2018,0.818,0.348,0.362,-0.014
Santana, Carlos,2018,0.766,0.333,0.346,-0.013
Gonzalez, Carlos,2018,0.796,0.338,0.303,0.035
Alonso, Yonder,2018,0.738,0.319,0.331,-0.012
Smoak, Justin,2018,0.808,0.349,0.335,0.014
Lowrie, Jed,2018,0.801,0.348,0.333,0.015
Brantley, Michael,2018,0.831,0.359,0.36,-0.001
Gurriel, Yuli,2018,0.751,0.323,0.293,0.03
Solarte, Yangervis,2018,0.655,0.284,0.304,-0.02
Rojas, Miguel,2018,0.642,0.281,0.289,-0.008
Escobar, Eduardo,2018,0.824,0.346,0.321,0.025
Martinez, Jose,2018,0.82,0.356,0.384,-0.028
Davis, Khris,2018,0.874,0.365,0.376,-0.011
Pham, Tommy,2018,0.83,0.359,0.382,-0.023
Martinez, J.D.,2018,1.031,0.428,0.421,0.007
Goldschmidt, Paul,2018,0.921,0.39,0.384,0.006
Gonzalez, Marwin,2018,0.73,0.318,0.318,0
Altuve, Jose,2018,0.835,0.364,0.358,0.006
Hernandez, Cesar,2018,0.718,0.32,0.321,-0.001
Segura, Jean,2018,0.753,0.327,0.315,0.012
Castro, Starlin,2018,0.729,0.316,0.314,0.002
Marte, Starling,2018,0.786,0.337,0.342,-0.005
Dietrich, Derek,2018,0.751,0.327,0.303,0.024
Freeman, Freddie,2018,0.892,0.378,0.387,-0.009
Grandal, Yasmani,2018,0.815,0.352,0.338,0.014
LeMahieu, DJ,2018,0.748,0.323,0.327,-0.004
Moustakas, Mike,2018,0.774,0.329,0.338,-0.009
Rizzo, Anthony,2018,0.846,0.359,0.366,-0.007
Stanton, Giancarlo,2018,0.852,0.36,0.344,0.016
Galvis, Freddy,2018,0.679,0.294,0.278,0.016
Perez, Salvador,2018,0.713,0.304,0.334,-0.03
Inciarte, Ender,2018,0.703,0.309,0.294,0.015
Ozuna, Marcell,2018,0.758,0.327,0.359,-0.032
Villar, Jonathan,2018,0.708,0.312,0.291,0.021
Aguilar, Jesus,2018,0.89,0.374,0.358,0.016
Crawford, Brandon,2018,0.719,0.306,0.311,-0.005
Cron, C.J.,2018,0.816,0.347,0.347,0
Hicks, Aaron,2018,0.832,0.36,0.372,-0.012
Hosmer, Eric,2018,0.72,0.31,0.31,0
Kipnis, Jason,2018,0.703,0.309,0.315,-0.006
Rendon, Anthony,2018,0.909,0.383,0.389,-0.006
Semien, Marcus,2018,0.705,0.308,0.304,0.004
Shaw, Travis,2018,0.824,0.351,0.347,0.004
Springer, George,2018,0.777,0.34,0.345,-0.005
Gordon, Dee,2018,0.633,0.277,0.278,-0.001
Gregorius, Didi,2018,0.828,0.35,0.319,0.031
Trout, Mike,2018,1.087,0.447,0.432,0.015
Herrera, Odubel,2018,0.73,0.315,0.285,0.03
Harper, Bryce,2018,0.889,0.376,0.388,-0.012
Abreu, Jose,2018,0.798,0.337,0.358,-0.021
Suarez, Eugenio,2018,0.892,0.377,0.375,0.002
Polanco, Gregory,2018,0.837,0.353,0.342,0.011
Sanchez, Yolmer,2018,0.677,0.297,0.289,0.008
