last_name, first_name,woba,xwoba,diff
Semien, Marcus,0.373,0.362,0.011
Merrifield, Whit,0.34,0.325,0.015
Acuna Jr., Ronald,0.369,0.386,-0.017
Villar, Jonathan,0.335,0.313,0.022
Betts, Mookie,0.38,0.408,-0.028
Hoskins, Rhys,0.347,0.342,0.005
Polanco, Jorge,0.352,0.344,0.008
Albies, Ozzie,0.354,0.351,0.003
Devers, Rafael,0.377,0.36,0.017
Escobar, Eduardo,0.341,0.327,0.014
Bogaerts, Xander,0.39,0.358,0.032
Alonso, Pete,0.384,0.374,0.01
Abreu, Jose,0.344,0.359,-0.015
Freeman, Freddie,0.387,0.394,-0.007
Bregman, Alex,0.418,0.378,0.04
Santana, Carlos,0.38,0.367,0.013
Goldschmidt, Paul,0.346,0.361,-0.015
Harper, Bryce,0.366,0.387,-0.021
Mancini, Trey,0.373,0.364,0.009
Soler, Jorge,0.378,0.392,-0.014
Castro, Starlin,0.307,0.31,-0.003
Chapman, Matt,0.354,0.36,-0.006
Hosmer, Eric,0.309,0.308,0.001
Hernandez, Cesar,0.315,0.303,0.012
DeJong, Paul,0.322,0.325,-0.003
Castellanos, Nicholas,0.358,0.364,-0.006
Arenado, Nolan,0.392,0.344,0.048
Suarez, Eugenio,0.381,0.355,0.026
Bellinger, Cody,0.414,0.429,-0.015
Machado, Manny,0.335,0.342,-0.007
Choo, Shin-Soo,0.353,0.356,-0.003
Donaldson, Josh,0.377,0.387,-0.01
Soto, Juan,0.394,0.407,-0.013
Martinez, J.D.,0.386,0.4,-0.014
Eaton, Adam,0.342,0.34,0.002
Story, Trevor,0.38,0.339,0.041
Rosario, Amed,0.318,0.32,-0.002
LeMahieu, DJ,0.375,0.379,-0.004
Pham, Tommy,0.349,0.357,-0.008
Lindor, Francisco,0.349,0.33,0.019
Fletcher, David,0.318,0.323,-0.005
Andrus, Elvis,0.3,0.307,-0.007
Conforto, Michael,0.358,0.367,-0.009
Rendon, Anthony,0.413,0.418,-0.005
Pillar, Kevin,0.298,0.295,0.003
Brantley, Michael,0.367,0.362,0.005
Bryant, Kris,0.38,0.347,0.033
Blackmon, Charlie,0.387,0.362,0.025
Gordon, Alex,0.319,0.332,-0.013
Grandal, Yasmani,0.361,0.363,-0.002
Calhoun, Kole,0.33,0.34,-0.01
Grichuk, Randal,0.307,0.3,0.007
Marte, Ketel,0.405,0.37,0.035
Ahmed, Nick,0.315,0.318,-0.003
Cain, Lorenzo,0.302,0.33,-0.028
Garcia, Leury,0.295,0.274,0.021
Segura, Jean,0.315,0.314,0.001
Robles, Victor,0.317,0.292,0.025
Belt, Brandon,0.319,0.346,-0.027
Benintendi, Andrew,0.33,0.34,-0.01
Bell, Josh,0.379,0.381,-0.002
Rizzo, Anthony,0.39,0.39,0
Gurriel, Yuli,0.364,0.322,0.042
Puig, Yasiel,0.33,0.334,-0.004
Schwarber, Kyle,0.357,0.375,-0.018
Votto, Joey,0.332,0.343,-0.011
Frazier, Adam,0.32,0.315,0.005
Torres, Gleyber,0.359,0.341,0.018
Walker, Christian,0.346,0.362,-0.016
Trout, Mike,0.436,0.455,-0.019
Nunez, Renato,0.323,0.331,-0.008
Kepler, Max,0.355,0.342,0.013
Realmuto, J.T.,0.34,0.342,-0.002
Meadows, Austin,0.38,0.372,0.008
Rosario, Eddie,0.329,0.33,-0.001
Muncy, Max,0.373,0.385,-0.012
Galvis, Freddy,0.307,0.279,0.028
Heyward, Jason,0.328,0.333,-0.005
Dozier, Hunter,0.36,0.337,0.023
Marte, Starling,0.353,0.361,-0.008
Adames, Willy,0.313,0.315,-0.002
Moustakas, Mike,0.348,0.349,-0.001
Odor, Rougned,0.302,0.322,-0.02
Yelich, Christian,0.442,0.42,0.022
Fowler, Dexter,0.326,0.338,-0.012
Turner, Trea,0.356,0.336,0.02
Bradley Jr., Jackie,0.314,0.327,-0.013
McNeil, Jeff,0.385,0.355,0.03
Smith, Mallex,0.278,0.265,0.013
Baez, Javier,0.347,0.334,0.013
Crawford, Brandon,0.281,0.306,-0.025
Moncada, Yoan,0.38,0.362,0.018
Vogelbach, Daniel,0.333,0.346,-0.013
Springer, George,0.401,0.398,0.003
Sanchez, Yolmer,0.281,0.276,0.005
Reddick, Josh,0.308,0.313,-0.005
Gardner, Brett,0.344,0.301,0.043
Alberto, Hanser,0.318,0.303,0.015
Turner, Justin,0.37,0.378,-0.008
Cabrera, Miguel,0.318,0.332,-0.014
Wong, Kolten,0.334,0.308,0.026
Ozuna, Marcell,0.336,0.382,-0.046
Altuve, Jose,0.374,0.35,0.024
Reyes, Franmil,0.338,0.36,-0.022
Olson, Matt,0.368,0.386,-0.018
Reynolds, Bryan,0.371,0.357,0.014
Arcia, Orlando,0.269,0.284,-0.015
Pujols, Albert,0.308,0.319,-0.011
Swanson, Dansby,0.317,0.347,-0.03
Ramirez, Jose,0.335,0.342,-0.007
Seager, Corey,0.34,0.332,0.008
McMahon, Ryan,0.33,0.322,0.008
Davis, Khris,0.289,0.318,-0.029
Newman, Kevin,0.34,0.312,0.028
Garcia, Avisail,0.334,0.342,-0.008
Iglesias, Jose,0.306,0.289,0.017
Jones, Adam,0.308,0.314,-0.006
Rojas, Miguel,0.305,0.303,0.002
Ramos, Wilson,0.327,0.311,0.016
Cruz, Nelson,0.417,0.418,-0.001
Vazquez, Christian,0.331,0.316,0.015
Anderson, Brian,0.342,0.343,-0.001
Anderson, Tim,0.363,0.328,0.035
Profar, Jurickson,0.301,0.323,-0.022
Pederson, Joc,0.362,0.347,0.015
Cabrera, Asdrubal,0.331,0.318,0.013
Guerrero Jr., Vladimir,0.329,0.33,-0.001
Santana, Danny,0.352,0.338,0.014
Kipnis, Jason,0.301,0.316,-0.015
Voit, Luke,0.36,0.365,-0.005
Braun, Ryan,0.354,0.342,0.012
Longoria, Evan,0.322,0.352,-0.03
Santana, Domingo,0.326,0.347,-0.021
Jimenez, Eloy,0.343,0.349,-0.006
Moran, Colin,0.315,0.316,-0.001
Smoak, Justin,0.323,0.366,-0.043
Kingery, Scott,0.329,0.314,0.015
Frazier, Todd,0.328,0.315,0.013
Cron, C.J.,0.325,0.366,-0.041
Canha, Mark,0.386,0.362,0.024
Renfroe, Hunter,0.32,0.311,0.009
Carpenter, Matt,0.315,0.331,-0.016
Panik, Joe,0.284,0.304,-0.02
Myers, Wil,0.316,0.322,-0.006
Choi, Ji-Man,0.348,0.366,-0.018
Encarnacion, Edwin,0.362,0.36,0.002
Desmond, Ian,0.328,0.335,-0.007
Dozier, Brian,0.329,0.331,-0.002
Grossman, Robbie,0.299,0.324,-0.025
Mercado, Oscar,0.321,0.308,0.013
Narvaez, Omar,0.345,0.324,0.021
Laureano, Ramon,0.356,0.342,0.014
Kiermaier, Kevin,0.284,0.292,-0.008
Murphy, Daniel,0.328,0.29,0.038
Urshela, Gio,0.369,0.353,0.016
McCann, James,0.333,0.321,0.012
Goodrum, Niko,0.316,0.304,0.012
Mazara, Nomar,0.327,0.337,-0.01
Markakis, Nick,0.332,0.349,-0.017
Alfaro, Jorge,0.312,0.319,-0.007
Hernandez, Teoscar,0.325,0.311,0.014
Schoop, Jonathan,0.324,0.312,0.012
Gonzalez, Marwin,0.313,0.32,-0.007
Hernandez, Enrique,0.302,0.308,-0.006
Thames, Eric,0.354,0.325,0.029
Goodwin, Brian,0.332,0.307,0.025
Davis, J.D.,0.374,0.383,-0.009
Dyson, Jarrod,0.281,0.273,0.008
Molina, Yadier,0.303,0.325,-0.022
Perez, Roberto,0.326,0.323,0.003
Tapia, Raimel,0.307,0.287,0.02
Judge, Aaron,0.382,0.401,-0.019
Drury, Brandon,0.271,0.305,-0.034
Ramirez, Harold,0.308,0.309,-0.001
Sanchez, Gary,0.346,0.363,-0.017
Posey, Buster,0.298,0.315,-0.017
Seager, Kyle,0.332,0.349,-0.017
Mondesi, Adalberto,0.298,0.282,0.016
Sogard, Eric,0.342,0.307,0.035
Margot, Manuel,0.296,0.279,0.017
Sano, Miguel,0.379,0.363,0.016
Chirinos, Robinson,0.336,0.316,0.02
Biggio, Cavan,0.343,0.345,-0.002
Franco, Maikel,0.281,0.292,-0.011
Ohtani, Shohei,0.352,0.349,0.003
Simmons, Andrelton,0.29,0.265,0.025
Peralta, David,0.338,0.301,0.037
Bauers, Jake,0.296,0.29,0.006
Cano, Robinson,0.308,0.327,-0.019
Cooper, Garrett,0.337,0.34,-0.003
Gordon, Dee,0.282,0.26,0.022
Dixon, Brandon,0.303,0.306,-0.003
Stewart, Christin,0.294,0.314,-0.02
Senzel, Nick,0.315,0.303,0.012
Taylor, Chris,0.331,0.301,0.03
Dahl, David,0.364,0.34,0.024
Ruiz, Rio,0.294,0.293,0.001
Wolters, Tony,0.29,0.281,0.009
Yastrzemski, Mike,0.353,0.344,0.009
Tellez, Rowdy,0.308,0.332,-0.024
Contreras, Willson,0.368,0.342,0.026
DeShields, Delino,0.295,0.28,0.015
Bader, Harrison,0.293,0.316,-0.023
Rengifo, Luis,0.298,0.303,-0.005
Santander, Anthony,0.321,0.321,0
Peraza, Jose,0.272,0.292,-0.02
Lopez, Nicky,0.26,0.251,0.009
Cabrera, Melky,0.301,0.294,0.007
Crawford, J.P.,0.296,0.294,0.002
Piscotty, Stephen,0.306,0.323,-0.017
Smith Jr, Dwight,0.299,0.292,0.007
d'Arnaud, Travis,0.314,0.334,-0.02
Candelario, Jeimer,0.283,0.302,-0.019
Jansen, Danny,0.275,0.314,-0.039
Winker, Jesse,0.351,0.352,-0.001
Chavis, Michael,0.323,0.298,0.025
Walker, Neil,0.319,0.339,-0.02
Verdugo, Alex,0.341,0.331,0.01
Maldonado, Martin,0.288,0.302,-0.014
Martinez, Jose,0.323,0.343,-0.02
Garcia, Greg,0.319,0.295,0.024
Tatis Jr., Fernando,0.398,0.345,0.053
Kendrick, Howie,0.4,0.419,-0.019
O'Hearn, Ryan,0.279,0.308,-0.029
